"classified_image_id","roundness","tailedness","blockiness","curviness","deviation_from_usno1","graded","image_id","image_name","usdaclass_name","axial_length","max_diameter","lw_ratio","weight_oz","user_id","user_role"
14001,95,0,90,0,26,True,1,"2f2cac49ef0a5d4a885eb8fd254506fd.bmp","U.S. No. 1",3.44,3.2,1.04,9.51,29,"Researcher"
20001,100,NULL,50,1,100,True,1,"2f2cac49ef0a5d4a885eb8fd254506fd.bmp","U.S. No. 1",3.44,3.2,1.04,9.51,41,"Researcher"
16001,100,NULL,50,NULL,25,True,1,"2f2cac49ef0a5d4a885eb8fd254506fd.bmp","U.S. No. 1",3.44,3.2,1.04,9.51,33,"Student"
6001,100,NULL,50,0,60,True,1,"2f2cac49ef0a5d4a885eb8fd254506fd.bmp","U.S. No. 1",3.44,3.2,1.04,9.51,13,"Student"
2001,100,0,NULL,0,75,True,1,"2f2cac49ef0a5d4a885eb8fd254506fd.bmp","U.S. No. 1",3.44,3.2,1.04,9.51,5,"Researcher"
22001,90,0,75,0,40,True,1,"2f2cac49ef0a5d4a885eb8fd254506fd.bmp","U.S. No. 1",3.44,3.2,1.04,9.51,45,"Student"
12001,100,NULL,50,2,50,True,1,"2f2cac49ef0a5d4a885eb8fd254506fd.bmp","U.S. No. 1",3.44,3.2,1.04,9.51,25,"Researcher"
1,97,0,20,2,77,True,1,"2f2cac49ef0a5d4a885eb8fd254506fd.bmp","U.S. No. 1",3.44,3.2,1.04,9.51,1,"Researcher"
24001,99,NULL,NULL,NULL,100,True,1,"2f2cac49ef0a5d4a885eb8fd254506fd.bmp","U.S. No. 1",3.44,3.2,1.04,9.51,49,"Researcher"
18001,95,NULL,82,NULL,25,True,1,"2f2cac49ef0a5d4a885eb8fd254506fd.bmp","U.S. No. 1",3.44,3.2,1.04,9.51,37,"Researcher"
8001,100,0,24,0,NULL,True,1,"2f2cac49ef0a5d4a885eb8fd254506fd.bmp","U.S. No. 1",3.44,3.2,1.04,9.51,17,"Researcher"
10001,75,25,50,24,50,True,1,"2f2cac49ef0a5d4a885eb8fd254506fd.bmp","U.S. No. 1",3.44,3.2,1.04,9.51,21,"Student"
22002,50,50,5,10,25,True,2,"ca05a5ea7c1bcc6d93e853ab95f5bb2b.bmp","U.S. No. 1",5.82,2.48,2.16,8.49,45,"Student"
14002,41,73,19,33,25,True,2,"ca05a5ea7c1bcc6d93e853ab95f5bb2b.bmp","U.S. No. 1",5.82,2.48,2.16,8.49,29,"Researcher"
16002,50,50,5,25,26,True,2,"ca05a5ea7c1bcc6d93e853ab95f5bb2b.bmp","U.S. No. 1",5.82,2.48,2.16,8.49,33,"Student"
6002,35,62,0,12,33,True,2,"ca05a5ea7c1bcc6d93e853ab95f5bb2b.bmp","U.S. No. 1",5.82,2.48,2.16,8.49,13,"Student"
24002,50,50,25,30,24,True,2,"ca05a5ea7c1bcc6d93e853ab95f5bb2b.bmp","U.S. No. 1",5.82,2.48,2.16,8.49,49,"Researcher"
20002,50,50,25,25,25,True,2,"ca05a5ea7c1bcc6d93e853ab95f5bb2b.bmp","U.S. No. 1",5.82,2.48,2.16,8.49,41,"Researcher"
8002,27,73,26,50,50,True,2,"ca05a5ea7c1bcc6d93e853ab95f5bb2b.bmp","U.S. No. 1",5.82,2.48,2.16,8.49,17,"Researcher"
10002,15,25,25,10,18,True,2,"ca05a5ea7c1bcc6d93e853ab95f5bb2b.bmp","U.S. No. 1",5.82,2.48,2.16,8.49,21,"Student"
2,50,72,25,24,70,True,2,"ca05a5ea7c1bcc6d93e853ab95f5bb2b.bmp","U.S. No. 1",5.82,2.48,2.16,8.49,1,"Researcher"
2002,37,50,58,34,60,True,2,"ca05a5ea7c1bcc6d93e853ab95f5bb2b.bmp","U.S. No. 1",5.82,2.48,2.16,8.49,5,"Researcher"
18002,41,50,27,10,7,True,2,"ca05a5ea7c1bcc6d93e853ab95f5bb2b.bmp","U.S. No. 1",5.82,2.48,2.16,8.49,37,"Researcher"
12002,50,50,25,24,13,True,2,"ca05a5ea7c1bcc6d93e853ab95f5bb2b.bmp","U.S. No. 1",5.82,2.48,2.16,8.49,25,"Researcher"
18003,36,42,37,50,35,True,3,"0b091c5eb21643dad01db394daad050c.bmp","U.S. No. 1",6.36,2.49,2.15,8.47,37,"Researcher"
20003,50,50,0,25,10,True,3,"0b091c5eb21643dad01db394daad050c.bmp","U.S. No. 1",6.36,2.49,2.15,8.47,41,"Researcher"
16003,66,57,14,36,25,True,3,"0b091c5eb21643dad01db394daad050c.bmp","U.S. No. 1",6.36,2.49,2.15,8.47,33,"Student"
8003,50,75,26,0,24,True,3,"0b091c5eb21643dad01db394daad050c.bmp","U.S. No. 1",6.36,2.49,2.15,8.47,17,"Researcher"
3,50,64,50,10,50,True,3,"0b091c5eb21643dad01db394daad050c.bmp","U.S. No. 1",6.36,2.49,2.15,8.47,1,"Researcher"
2003,50,55,45,0,30,True,3,"0b091c5eb21643dad01db394daad050c.bmp","U.S. No. 1",6.36,2.49,2.15,8.47,5,"Researcher"
12003,50,50,4,5,15,True,3,"0b091c5eb21643dad01db394daad050c.bmp","U.S. No. 1",6.36,2.49,2.15,8.47,25,"Researcher"
14003,61,25,32,12,32,True,3,"0b091c5eb21643dad01db394daad050c.bmp","U.S. No. 1",6.36,2.49,2.15,8.47,29,"Researcher"
6003,58,39,13,5,10,True,3,"0b091c5eb21643dad01db394daad050c.bmp","U.S. No. 1",6.36,2.49,2.15,8.47,13,"Student"
10003,22,50,0,10,10,True,3,"0b091c5eb21643dad01db394daad050c.bmp","U.S. No. 1",6.36,2.49,2.15,8.47,21,"Student"
22003,50,25,15,5,10,True,3,"0b091c5eb21643dad01db394daad050c.bmp","U.S. No. 1",6.36,2.49,2.15,8.47,45,"Student"
24003,0,28,8,0,15,True,3,"0b091c5eb21643dad01db394daad050c.bmp","U.S. No. 1",6.36,2.49,2.15,8.47,49,"Researcher"
12004,91,25,25,10,37,True,4,"0d9e698091504540373da63a8cdfc516.bmp","U.S. No. 1",3.92,2.71,1.25,6.51,25,"Researcher"
10004,80,5,25,15,25,True,4,"0d9e698091504540373da63a8cdfc516.bmp","U.S. No. 1",3.92,2.71,1.25,6.51,21,"Student"
16004,91,3,89,3,8,True,4,"0d9e698091504540373da63a8cdfc516.bmp","U.S. No. 1",3.92,2.71,1.25,6.51,33,"Student"
2004,95,0,NULL,0,75,True,4,"0d9e698091504540373da63a8cdfc516.bmp","U.S. No. 1",3.92,2.71,1.25,6.51,5,"Researcher"
20004,85,5,10,25,85,True,4,"0d9e698091504540373da63a8cdfc516.bmp","U.S. No. 1",3.92,2.71,1.25,6.51,41,"Researcher"
4,97,3,50,4,74,True,4,"0d9e698091504540373da63a8cdfc516.bmp","U.S. No. 1",3.92,2.71,1.25,6.51,1,"Researcher"
8004,100,50,26,50,26,True,4,"0d9e698091504540373da63a8cdfc516.bmp","U.S. No. 1",3.92,2.71,1.25,6.51,17,"Researcher"
22004,88,11,98,6,36,True,4,"0d9e698091504540373da63a8cdfc516.bmp","U.S. No. 1",3.92,2.71,1.25,6.51,45,"Student"
14004,85,10,69,7,19,True,4,"0d9e698091504540373da63a8cdfc516.bmp","U.S. No. 1",3.92,2.71,1.25,6.51,29,"Researcher"
6004,90,15,40,0,30,True,4,"0d9e698091504540373da63a8cdfc516.bmp","U.S. No. 1",3.92,2.71,1.25,6.51,13,"Student"
18004,75,NULL,73,2,18,True,4,"0d9e698091504540373da63a8cdfc516.bmp","U.S. No. 1",3.92,2.71,1.25,6.51,37,"Researcher"
24004,84,6,NULL,NULL,79,True,4,"0d9e698091504540373da63a8cdfc516.bmp","U.S. No. 1",3.92,2.71,1.25,6.51,49,"Researcher"
2005,60,2,85,0,NULL,True,5,"2d429626d07d5d460802bf518272f896.bmp","U.S. No. 2",6.96,3.74,1.63,23.6,5,"Researcher"
16005,76,13,95,7,NULL,True,5,"2d429626d07d5d460802bf518272f896.bmp","U.S. No. 2",6.96,3.74,1.63,23.6,33,"Student"
12005,63,50,94,14,NULL,True,5,"2d429626d07d5d460802bf518272f896.bmp","U.S. No. 2",6.96,3.74,1.63,23.6,25,"Researcher"
24005,50,14,100,13,NULL,True,5,"2d429626d07d5d460802bf518272f896.bmp","U.S. No. 2",6.96,3.74,1.63,23.6,49,"Researcher"
14005,65,31,42,7,NULL,True,5,"2d429626d07d5d460802bf518272f896.bmp","U.S. No. 2",6.96,3.74,1.63,23.6,29,"Researcher"
22005,80,50,50,0,NULL,True,5,"2d429626d07d5d460802bf518272f896.bmp","U.S. No. 2",6.96,3.74,1.63,23.6,45,"Student"
20005,75,10,76,50,NULL,True,5,"2d429626d07d5d460802bf518272f896.bmp","U.S. No. 2",6.96,3.74,1.63,23.6,41,"Researcher"
5,75,10,92,5,NULL,True,5,"2d429626d07d5d460802bf518272f896.bmp","U.S. No. 2",6.96,3.74,1.63,23.6,1,"Researcher"
10005,25,24,30,0,NULL,True,5,"2d429626d07d5d460802bf518272f896.bmp","U.S. No. 2",6.96,3.74,1.63,23.6,21,"Student"
8005,50,26,50,71,NULL,True,5,"2d429626d07d5d460802bf518272f896.bmp","U.S. No. 2",6.96,3.74,1.63,23.6,17,"Researcher"
